ALB225,R0.3×3,0.45,60,J-032
ALB225,R0.4×4,0.6,60,J-032
ALB225,R0.5,2,60,J-032
ALB225,R0.5×5,0.75,60,J-032
ALB225,R0.5×10,0.75,60,J-032
ALB225,R0.75,3,60,J-032
ALB225,R0.75×7.5,1.1,60,J-032
ALB225,R0.75×15,1.1,60,J-032
ALB225,R1,4,60,J-032
ALB225,R1×10,1.5,60,J-032
ALB225,R1×20,1.5,60,J-032
ALB225,R1.5,6,60,J-032
ALB225,R1.5×15,2.5,60,J-032
ALB225,R1.5×30,2.5,70,J-032
ALB225,R2,8,70,J-032
ALB225,R2×20,3,80,J-032
ALB225,R2×40,3,90,J-032
ALB225,R2.5,10,80,J-032
ALB225,R2.5×25,3.5,80,J-032
ALB225,R2.5×50,3.5,100,J-032
ALB225,R3,12,90,J-032
ALB225,R3×30,6,90,J-032
ALB225,R3×60,6,120,J-032
ALB225,R4,16,90,J-032
ALB225,R5,20,100,J-032
ALB225,R6,24,110,J-032
ALB225-DLC,R0.3×3,0.45,60,J-034
ALB225-DLC,R0.4×4,0.6,60,J-034
ALB225-DLC,R0.5,2,60,J-034
ALB225-DLC,R0.5×5,0.75,60,J-034
ALB225-DLC,R0.5×10,0.75,60,J-034
ALB225-DLC,R0.75,3,60,J-034
ALB225-DLC,R0.75×7.5,1.1,60,J-034
ALB225-DLC,R0.75×15,1.1,60,J-034
ALB225-DLC,R1,4,60,J-034
ALB225-DLC,R1×10,1.5,60,J-034
ALB225-DLC,R1×20,1.5,60,J-034
ALB225-DLC,R1.5,6,60,J-034
ALB225-DLC,R1.5×15,2.5,60,J-034
ALB225-DLC,R1.5×30,2.5,70,J-034
ALB225-DLC,R2,8,70,J-034
ALB225-DLC,R2×20,3,80,J-034
ALB225-DLC,R2×40,3,90,J-034
ALB225-DLC,R2.5,10,80,J-034
ALB225-DLC,R2.5×25,3.5,80,J-034
ALB225-DLC,R2.5×50,3.5,100,J-034
ALB225-DLC,R3,12,90,J-034
ALB225-DLC,R3×30,6,90,J-034
ALB225-DLC,R3×60,6,120,J-034
ALB225-DLC,R4,16,90,J-034
ALB225-DLC,R5,20,100,J-034
ALB225-DLC,R6,24,110,J-034
DB,R0.5,2,45,R-108
DB,R0.75,3,45,R-108
DB,R1,4,60,R-108
DB,R1.25,5,60,R-108
DB,R1.5,6,60,R-108
DB,R1.75,7,60,R-108
DB,R2,8,60,R-108
DB,R2.5,10,60,R-108
DB,R3,12,80,R-108
DB,R4,16,90,R-108
DB,R5,20,100,R-108
DB,R6,24,110,R-108
DB,R8,32,150,R-108
DB,R10,40,170,R-108
DCMB,R0.1,0.15,45,N-008
DCMB,R0.1×0.5,0.12,45,N-008
DCMB,R0.2,0.3,45,N-008
DCMB,R0.2×1,0.25,45,N-008
DCMB,R0.3,0.45,45,N-008
DCMB,R0.3×1.5,0.35,45,N-008
DCMB,R0.5,0.75,45,N-008
