NSME100,φ0.01,0.01,45,D-008
NSME100,φ0.02,0.02,45,D-008
NSME100,φ0.03,0.03,45,D-008
SMEZ120,φ0.03,0.03,50,"B-006,D-006"
NSME230,φ0.03,0.045,45,D-010
NSME100,φ0.04,0.04,45,D-008
SMEZ120,φ0.04,0.04,50,"B-006,D-006"
NSME230,φ0.04,0.06,45,D-010
NSME100,φ0.05,0.05,45,D-008
SMEZ120,φ0.05,0.05,50,"B-006,D-006"
NSME230,φ0.05,0.075,45,D-010
SMEZ120,φ0.06,0.06,50,"B-006,D-006"
NSME230,φ0.06,0.09,45,D-010
SMEZ120,φ0.07,0.07,50,"B-006,D-006"
NSME230,φ0.07,0.105,45,D-010
SMEZ120,φ0.08,0.08,50,"B-006,D-006"
NSME230,φ0.08,0.12,45,D-010
SMEZ120,φ0.09,0.09,50,"B-006,D-006"
NSME230,φ0.09,0.135,45,D-010
MXH225,φ0.1,0.1,45,F-010
MXH225P,φ0.1,0.1,45,F-020
MSE230SS,φ0.1,0.1,45,G-032
SMEZ120,φ0.1,0.1,50,"B-006,D-006"
MSES230P,φ0.1,0.15,45,G-036
MSE230,φ0.1,0.15,45,G-038
MSE230M,φ0.1,0.15,45,G-044
RSES230,φ0.1,0.15,50,L-006
MXH230,φ0.1,0.2,45,F-012
MXH230P,φ0.1,0.2,45,F-022
MX230,φ0.1,0.2,45,G-014
MXH235,φ0.1,0.3,45,F-014
MXH235P,φ0.1,0.3,45,F-024
MX235,φ0.1,0.3,45,G-016
RSE230,φ0.1,0.3,45,L-014
PCDSE,φ0.1×0.1,0.02,48,C-006
SSE400,φ0.1×0.2,0.04,53,B-008
CED100,φ0.1×0.2,0.05,40,S-030
MHRH230,φ0.1×0.3,0.08,45,F-038
MHR230,φ0.1×0.3,0.15,45,G-084
RSES230,φ0.1×0.3,0.15,50,L-006
DHR237,φ0.1×0.3,0.2,45,K-006
SSE400,φ0.1×0.5,0.04,53,B-008
MHRH230,φ0.1×0.5,0.08,45,F-038
MHR230,φ0.1×0.5,0.15,45,G-084
RSES230,φ0.1×0.5,0.15,50,L-006
DHR237,φ0.1×0.5,0.2,45,K-006
MHRH230,φ0.1×0.75,0.08,45,F-038
MHR230,φ0.1×0.75,0.15,45,G-084
DHR237,φ0.1×0.75,0.2,45,K-006
RSES230,φ0.1×0.8,0.15,50,L-006
RSE230,φ0.1×0.8,0.3,45,L-014
MHRH230,φ0.1×1,0.08,45,F-038
MHR230,φ0.1×1,0.15,45,G-084
